MJD,Altitude,Latitude,Longitude,SPS,Alpha
32319.16667,1.13E+04,-9.28E-01,352.127579,115.479527,90
32319.16736,1.12E+04,-1.15E+00,352.0101,115.465528,90
32319.16806,1.12E+04,-1.37E+00,351.892785,115.450983,90
32319.16875,1.12E+04,-1.59E+00,351.775647,115.43589,90
32319.16944,1.12E+04,-1.81E+00,351.658698,115.420246,90
32319.17014,1.12E+04,-2.03E+00,351.541948,115.404049,90
32319.17083,1.12E+04,-2.25E+00,351.425411,115.387296,90
32319.17153,1.12E+04,-2.47E+00,351.309096,115.369985,90
32319.17222,1.12E+04,-2.69E+00,351.193018,115.352112,90
32319.17292,1.12E+04,-2.91E+00,351.077187,115.333674,90
32319.17361,1.12E+04,-3.14E+00,350.961617,115.314669,90
32319.17431,1.11E+04,-3.36E+00,350.846318,115.295092,90
32319.175,1.11E+04,-3.58E+00,350.731305,115.274941,90
32319.17569,1.11E+04,-3.81E+00,350.616589,115.254212,90
32319.17639,1.11E+04,-4.03E+00,350.502183,115.232901,90
32319.17708,1.11E+04,-4.25E+00,350.3881,115.211004,90
32319.17778,1.11E+04,-4.48E+00,350.274354,115.188517,90
32319.17847,1.11E+04,-4.70E+00,350.160957,115.165437,90
32319.17917,1.10E+04,-4.93E+00,350.047923,115.141758,90
32319.17986,1.10E+04,-5.16E+00,349.935265,115.117477,90
32319.18056,1.10E+04,-5.38E+00,349.822998,115.092589,90
32319.18125,1.10E+04,-5.61E+00,349.711134,115.067089,90
32319.18194,1.10E+04,-5.84E+00,349.599689,115.040973,90
32319.18264,1.10E+04,-6.07E+00,349.488677,115.014235,90
32319.18333,1.09E+04,-6.29E+00,349.378111,114.98687,90
32319.18403,1.09E+04,-6.52E+00,349.268008,114.958873,90
32319.18472,1.09E+04,-6.75E+00,349.158382,114.930238,90
32319.18542,1.09E+04,-6.98E+00,349.049248,114.90096,90
32319.18611,1.09E+04,-7.21E+00,348.940623,114.871032,90
32319.18681,1.08E+04,-7.45E+00,348.83252,114.840449,90
32319.1875,1.08E+04,-7.68E+00,348.724958,114.809205,90
32319.18819,1.08E+04,-7.91E+00,348.617952,114.777293,90
32319.18889,1.08E+04,-8.15E+00,348.511518,114.744707,90
32319.18958,1.08E+04,-8.38E+00,348.405674,114.711439,90
32319.19028,1.07E+04,-8.61E+00,348.300437,114.677484,90
32319.19097,1.07E+04,-8.85E+00,348.195825,114.642833,90
32319.19167,1.07E+04,-9.09E+00,348.091855,114.607479,90
32319.19236,1.07E+04,-9.32E+00,347.988546,114.571416,90
32319.19306,1.06E+04,-9.56E+00,347.885916,114.534634,90
32319.19375,1.06E+04,-9.80E+00,347.783985,114.497126,90
32319.19444,1.06E+04,-1.00E+01,347.682772,114.458884,90
32319.19514,1.06E+04,-1.03E+01,347.582297,114.4199,90
32319.19583,1.05E+04,-1.05E+01,347.48258,114.380164,90
32319.19653,1.05E+04,-1.08E+01,347.383642,114.339667,90
32319.19722,1.05E+04,-1.10E+01,347.285503,114.298402,90
32319.19792,1.05E+04,-1.13E+01,347.188187,114.256357,90
32319.19861,1.04E+04,-1.15E+01,347.091714,114.213524,90
32319.19931,1.04E+04,-1.17E+01,346.996108,114.169892,90
32319.2,1.04E+04,-1.20E+01,346.901391,114.125451,90
32319.20069,1.03E+04,-1.22E+01,346.807588,114.080192,90
32319.20139,1.03E+04,-1.25E+01,346.714722,114.034102,90
32319.20208,1.03E+04,-1.27E+01,346.62282,113.987171,90
32319.20278,1.02E+04,-1.30E+01,346.531905,113.939387,90
32319.20347,1.02E+04,-1.32E+01,346.442005,113.890739,90
32319.20417,1.02E+04,-1.35E+01,346.353146,113.841214,90
32319.20486,1.01E+04,-1.37E+01,346.265356,113.790801,90
32319.20556,1.01E+04,-1.40E+01,346.178663,113.739487,90
32319.20625,1.01E+04,-1.43E+01,346.093096,113.687258,90
32319.20694,1.00E+04,-1.45E+01,346.008686,113.634101,90
32319.20764,1.00E+04,-1.48E+01,345.925461,113.580002,90
32319.20833,9.98E+03,-1.50E+01,345.843455,113.524948,90
32319.20903,9.94E+03,-1.53E+01,345.762699,113.468923,90
32319.20972,9.90E+03,-1.56E+01,345.683227,113.411913,90
32319.21042,9.87E+03,-1.58E+01,345.605073,113.353902,90
32319.21111,9.83E+03,-1.61E+01,345.528271,113.294875,90
32319.21181,9.79E+03,-1.64E+01,345.452859,113.234815,90
32319.2125,9.76E+03,-1.66E+01,345.378873,113.173705,90
32319.21319,9.72E+03,-1.69E+01,345.306352,113.111529,90
32319.21389,9.68E+03,-1.72E+01,345.235336,113.048268,90
32319.21458,9.64E+03,-1.74E+01,345.165865,112.983905,90
32319.21528,9.60E+03,-1.77E+01,345.097981,112.91842,90
32319.21597,9.56E+03,-1.80E+01,345.031728,112.851795,90
32319.21667,9.52E+03,-1.83E+01,344.967151,112.78401,90
32319.21736,9.48E+03,-1.85E+01,344.904296,112.715045,90
32319.21806,9.43E+03,-1.88E+01,344.843209,112.644878,90
32319.21875,9.39E+03,-1.91E+01,344.783942,112.573488,90
32319.21944,9.35E+03,-1.94E+01,344.726544,112.500852,90
32319.22014,9.31E+03,-1.97E+01,344.671069,112.426949,90
32319.22083,9.26E+03,-2.00E+01,344.61757,112.351754,90
32319.22153,9.22E+03,-2.02E+01,344.566105,112.275244,90
32319.22222,9.17E+03,-2.05E+01,344.51673,112.197393,90
32319.22292,9.13E+03,-2.08E+01,344.469508,112.118176,90
32319.22361,9.08E+03,-2.11E+01,344.424499,112.037566,90
32319.22431,9.03E+03,-2.14E+01,344.381769,111.955537,90
32319.225,8.99E+03,-2.17E+01,344.341385,111.872059,90
32319.22569,8.94E+03,-2.20E+01,344.303417,111.787105,90
32319.22639,8.89E+03,-2.23E+01,344.267936,111.700644,90
32319.22708,8.84E+03,-2.26E+01,344.235018,111.612646,90
32319.22778,8.79E+03,-2.29E+01,344.20474,111.523079,90
32319.22847,8.74E+03,-2.32E+01,344.177183,111.43191,90
32319.22917,8.69E+03,-2.36E+01,344.152431,111.339106,90
32319.22986,8.64E+03,-2.39E+01,344.130571,111.244631,90
32319.23056,8.59E+03,-2.42E+01,344.111694,111.148451,90
32319.23125,8.54E+03,-2.45E+01,344.095894,111.050528,90
32319.23194,8.48E+03,-2.48E+01,344.08327,110.950823,90
32319.23264,8.43E+03,-2.51E+01,344.073924,110.849298,90
32319.23333,8.38E+03,-2.55E+01,344.067962,110.745911,90
32319.23403,8.32E+03,-2.58E+01,344.065495,110.640621,90
32319.23472,8.27E+03,-2.61E+01,344.06664,110.533384,90
32319.23542,8.21E+03,-2.65E+01,344.071518,110.424154,90
32319.23611,8.16E+03,-2.68E+01,344.080254,110.312886,90
32319.23681,8.10E+03,-2.71E+01,344.092981,110.199532,90
32319.2375,8.04E+03,-2.75E+01,344.109836,110.084042,90
32319.23819,7.99E+03,-2.78E+01,344.130964,109.966364,90
32319.23889,7.93E+03,-2.82E+01,344.156515,109.846445,90
32319.23958,7.87E+03,-2.85E+01,344.186648,109.72423,90
32319.24028,7.81E+03,-2.89E+01,344.221527,109.599663,90
32319.24097,7.75E+03,-2.92E+01,344.261326,109.472684,90
32319.24167,7.69E+03,-2.96E+01,344.306227,109.343232,90
32319.24236,7.63E+03,-3.00E+01,344.35642,109.211245,90
32319.24306,7.57E+03,-3.03E+01,344.412105,109.076655,90
32319.24375,7.50E+03,-3.07E+01,344.473493,108.939396,90
32319.24444,7.44E+03,-3.11E+01,344.540804,108.799397,90
32319.24514,7.38E+03,-3.15E+01,344.614272,108.656585,90
32319.24583,7.31E+03,-3.19E+01,344.69414,108.510884,90
32319.24653,7.25E+03,-3.22E+01,344.780666,108.362216,90
32319.24722,7.18E+03,-3.26E+01,344.874122,108.210498,90
32319.24792,7.12E+03,-3.30E+01,344.974794,108.055647,90
32319.24861,7.05E+03,-3.34E+01,345.082985,107.897573,90
32319.24931,6.98E+03,-3.38E+01,345.199013,107.736186,90
32319.25,6.91E+03,-3.42E+01,345.323216,107.571391,90
32319.25069,6.85E+03,-3.46E+01,345.455952,107.403088,90
